softwarename,describe,detail,Webpage,32bit,64bit,packagename,packagetype
apache2,The web server,Apache2 Web server.Can use .htaccess.SSL with certbot.,https://httpd.apache.org/,TRUE,TRUE,apache2,apt
fonts-noto,No More Tofu Font,If you can see tofu fonts let's install this font to fix!,,TRUE,TRUE,fonts-noto,apt
wine,run .exe file,Can use .exe file on RaspberryPi!,https://www.winehq.org/,TRUE,TRUE,wine,apt
winetricks,Wine tools,This tools is so helpful for wine,https://github.com/Winetricks/winetricks,TRUE,TRUE,wine-tricks,apt
scratch3,Easy block programming,Made by MIT.Easy-To-Program but can make great programs!,https://scratch.mit.edu,TRUE,TRUE,scratch3,apt
certbot,minute to SSL your web,For apache2 and etc.3 months ssl but you can regenerate anytime!,,TRUE,TRUE,certbot,apt
php-7.3,Tool to use PHP,You must install if you install web server client!,,TRUE,TRUE,php-7.3,apt
fcitx-mozc,Type Japanese,If you are Japanese You must install this software to type Japanese!,,TRUE,TRUE,fcitx-mozc,apt
scratch,First version of block programming software,If you want to use sensor at Scratch try this version!,,TRUE,TRUE,scratch,apt
scratch2mcpi,Make program on Scratch and run it on Minecraft Pi!,Minecraft Graphics Turtle to make great building with program!,https://scratch2mcpi.github.io,TRUE,FALSE,scratch2mcpi,curl
rpi-imager,Official Image Flasher,Its similar to BanelaEtcher but you can use on RaspberryPi too!,https://raspberrypi.org/,TRUE,TRUE,rpi-imager,apt
squashfs-tools,Easy to compress with many way!,You can compress with gzip lzma lzo lz4 xz zstd. You can set algorithm too,,TRUE,TRUE,squashfs-tools,apt
miniupnpc,Open your web port with ONE command!,(upnpc -a [your ip] [openport] [openport] [tcp/ucp]) to open your select port!,,TRUE,TRUE,miniupnpc,apt
java,The most famous language,We serve the recommend version. Run as (java -jar [your jar file]).,https://www.oracle.com/,TRUE,TRUE,java-recommend,bash
Minecraft Spigot Server,The famous Minecraft server,Spigot can use Spigot plugin!. You can play Minecraft with multi.,https://spigotmc.org,TRUE,TRUE,minecraft-spigot-server,bash
firefox-esr,Lightweight Web Browser,You can sync with account!.,https://www.mozilla.org/,TRUE,TRUE,firefox-esr,apt
epiphany-browser,The most lightweight Web browser,Its so lightweight as midori. You will forget the default browser speed.,,TRUE,TRUE,epiphany-browser,apt


